Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
1	4.7uF	CT3216	58R3271		F931A475MAA	1092	0.194	AVX (FORMERLY KNOWN AS NICHICON) - F931A475MAA - TANTALUM CAPACITOR, 4.7UF, 10V, 4 OHM, 0.2, 3216-12
10	100nF	C0603	06R4925		MC0603B104K250CT	4139	0.0040	MULTICOMP - MC0603B104K250CT - CERAMIC CAPACITOR, 0.1UF, 25V, X7R, 10%, 0603
3	10uF	CT3216	58R3260		F931A106MAA	1904	0.072	AVX (FORMERLY KNOWN AS NICHICON) - F931A106MAA - TANTALUM CAPACITOR, 10UF, 10V, 3 OHM, 0.2, 3216-12
1	4700pF	C0603	33R0458		MC0603B472K500CT	29799	0.013	MULTICOMP - MC0603B472K500CT - Multilayer Ceramic Capacitor, MC Series, 4700 pF,   10%, X7R, 50 V, 0603 [1608 Metric] 
26	0.1uF	C0603	06R4923		MC0603B104K160CT	46022	0.0040	MULTICOMP - MC0603B104K160CT - CERAMIC CAPACITOR, 0.1UF, 16V, X7R, 10%, 0603
2	18pF	C0603	06R5140		MC0603N180K500CT	3530	0.01	MULTICOMP - MC0603N180K500CT - CERAMIC CAPACITOR 18PF 50V, C0G, 10%, 0603
2	4.7uF	C0603	06X6198		MC0603X475K100CT	71030	0.027	MULTICOMP - MC0603X475K100CT - Multilayer Ceramic Capacitor, MC Series, 4.7  F,   10%, X5R, 10 V, 0603 [1608 Metric] 
4	2.2uF	C0603	01AC8938		GRT188R61H225KE13D	2465	0.113	MURATA - GRT188R61H225KE13D - CAP, MLCC, AEC-Q200, X5R, 2.2UF/50V, 0603
2	1000pF	C0603	06R4910		MC0603B102K500CT	4893	0.0040	MULTICOMP - MC0603B102K500CT - CERAMIC CAPACITOR 1000PF, 50V, X7R, 10%, 0603
2	22uF	C0805	33R0743		MC0805X226M6R3CT	108295	0.097	MULTICOMP - MC0805X226M6R3CT - Multilayer Ceramic Capacitor, MC Series, 22  F,   20%, X5R, 6.3 V, 0805 [2012 Metric] 
2	MBRS140	DO-214AA	83H7272	ON SEMICONDUCTOR	MBRS140T3G	794	0.153	ON SEMICONDUCTOR - MBRS140T3G - SCHOTTKY RECTIFIER, 1A, 40V, 403A
1	1812L110/24DR	LITTLEFUSE_SMD	22M2711		3557	44894	0.11	KEYSTONE - 3557 - FUSE CLIP, 0.8 X 2.8MM, PCB MOUNT
3	22-05-7028-02	7395-02	25M1728		22-05-7028	229	0.475	MOLEX - 22-05-7028 - WIRE-BOARD CONNECTOR HEADER 2 POSITION, 2.54MM
1	RB1-125BAG1A	WIZNET_RB1-125BAG1A	unknown					
1	5504F1-09S-02A-03	5504F1-09S-02A	18T0703		5504F1-09S-02A-03	682	0.836	MULTICOMP - 5504F1-09S-02A-03 - D SUB CONNECTOR, STANDARD, 9 POSITION, RECEPTACLE
4	22-05-7038-03	7395-03	26M6362		22-05-7038	40	0.52	MOLEX - 22-05-7038 - Wire-To-Board Connector, Right Angle, KK 7395 Series, Through Hole, Header, 3, 2.54 mm 
2	22-05-7058-05	7395-05	55H9619	MOLEX	22-05-7058	161	0.685	MOLEX - 22-05-7058 - WIRE-BOARD CONNECTOR HEADER 5 POSITION, 2.54MM
2	22-05-7048-04	7395-04	26M6363		22-05-7048	7713	0.601	MOLEX - 22-05-7048 - Wire-To-Board Connector, Right Angle, KK 7395 Series, Through Hole, Header, 4, 2.54 mm 
2	90814-0208	MOLEX_90814-0208	34R6216		90814-0208	279	0.667	MOLEX - 90814-0208 - Wire-To-Board Connector, Picoflex 90814 Series, Surface Mount, Header, 8, 1.27 mm 
1	90814-0206	MOLEX_90814-0206	34R6215		90814-0206	253	0.632	MOLEX - 90814-0206 - Wire-To-Board Connector, Picoflex 90814 Series, Surface Mount, Header, 6, 1.27 mm 
1	MSTBA2	MSTBA2	71C4161	FARNELL	1757242	2064	0.556	PHOENIX CONTACT - 1757242 - PIN HEADER, 2 POSITION, 5.08MM
1	22-27-2061-06	6410-06	56H0719	MOLEX	22-27-2061	115	0.276	MOLEX - 22-27-2061 - WIRE-BOARD CONNECTOR HEADER 6 POSITION, 2.54MM
1	USB3075-30-A	USB_MICROB_SMT	58T0863		USB3075-30-A	4042	0.418	GCT (GLOBAL CONNECTOR TECHNOLOGY) - USB3075-30-A - MICRO USB, 2.0 TYPE B, RECEPTACLE, SMT
1	1241050-5	2.54/2X5	98K5467		1241050-5	78	3.55	AMP - TE CONNECTIVITY - 1241050-5 - CONNECTOR, HEADER, 2.54MM, 10 POSITION
4	FIDUCIAL1X2	FIDUCIAL-1X2	unknown					
4	G6K-2G-Y	G6K-2G-Y	17C6944	OMRON COMPONENTS USA	G6K-2G-YDC24 BY OMR	0	3.25	OMRON ELECTRONIC COMPONENTS - G6K-2G-YDC24 BY OMR - SIGNAL RELAY, DPDT, 24VDC, 1A, SMD
1	0603PS-103KLB	0603	unknown					
1	15uH	WE-PD2_5848/5820	08P2818		744774115	0	1.27	WURTH ELEKTRONIK - 744774115 - INDUCTOR, UN-SHIELDED, 15UH, 1.9A, SMD
1	10uH	WE-PD2_5848/5820	08P2817		74477410	150	1.27	WURTH ELEKTRONIK - 74477410 - INDUCTOR, UN-SHIELDED, 10UH, 2.5A, SMD
9	Blue	CHIPLED_0603	15R2205		OVS-0603	115	0.159	MULTICOMP - OVS-0603 - LED, BLUE, 0.8MM X 1MM, 100MCD, 465NM
1	Red	CHIPLED_0603	15R2208		OVS-0608	3693	0.248	MULTICOMP - OVS-0608 - LED, RED, 0.8MM X 1MM, 300MCD, 625NM
4	MOUNT-PAD3,0	P3,0	unknown					
2	220	R0603	86T3577		MCMR06X2200FTL	400	0.0010	MULTICOMP - MCMR06X2200FTL - Surface Mount Thick Film Resistor, MCMR Series, 220 ohm, 0.1 W, -  1%, 75 V, 0603 [1608 Metric] 
4	49.9	R0603	86T3659		MCMR06X49R9FTL	15170	0.033	MULTICOMP - MCMR06X49R9FTL - Surface Mount Chip Resistor, Ceramic, MCMR Series, 49.9 ohm, 100 mW,   1%, 75 V, 0603 [1608 Metric] 
